동사구	빈도	그룹ID	그룹명
향유하다	1	UNCLASSIFIED	미분류
공평하다	1	UNCLASSIFIED	미분류
저지하다	1	UNCLASSIFIED	미분류
상속되다	1	UNCLASSIFIED	미분류
급여하다	1	UNCLASSIFIED	미분류
수탁자하다	1	UNCLASSIFIED	미분류
주요하다	1	UNCLASSIFIED	미분류
통지되다	1	UNCLASSIFIED	미분류
예견하다	1	UNCLASSIFIED	미분류
책임지다	1	UNCLASSIFIED	미분류
초과되다	1	UNCLASSIFIED	미분류
분배되다	1	UNCLASSIFIED	미분류
은폐하다	1	UNCLASSIFIED	미분류
신고받다	1	UNCLASSIFIED	미분류
추천되다	1	UNCLASSIFIED	미분류
수교하다	1	UNCLASSIFIED	미분류
취약하다	1	UNCLASSIFIED	미분류
육성하다	1	UNCLASSIFIED	미분류
제조하다	1	UNCLASSIFIED	미분류
내재하다	1	UNCLASSIFIED	미분류
맡기다	1	UNCLASSIFIED	미분류
보전되다	1	UNCLASSIFIED	미분류
형성시키다	1	UNCLASSIFIED	미분류
감액되다	1	UNCLASSIFIED	미분류
고치다	1	UNCLASSIFIED	미분류
발생되다	1	UNCLASSIFIED	미분류
균일하다	1	UNCLASSIFIED	미분류
대리시키다	1	UNCLASSIFIED	미분류
찬성하다	1	UNCLASSIFIED	미분류
승소하다	1	UNCLASSIFIED	미분류
전달받다	1	UNCLASSIFIED	미분류
변동시키다	1	UNCLASSIFIED	미분류
희박하다	1	UNCLASSIFIED	미분류
왜곡하다	1	UNCLASSIFIED	미분류
소추하다	1	UNCLASSIFIED	미분류
결의되다	1	UNCLASSIFIED	미분류
분양하다	1	UNCLASSIFIED	미분류
혼합하다	1	UNCLASSIFIED	미분류
폐기되다	1	UNCLASSIFIED	미분류
소명되다	1	UNCLASSIFIED	미분류
심문하다	1	UNCLASSIFIED	미분류
수색하다	1	UNCLASSIFIED	미분류
확인시키다	1	UNCLASSIFIED	미분류
자수하다	1	UNCLASSIFIED	미분류
면제받다	1	UNCLASSIFIED	미분류
차입되다	1	UNCLASSIFIED	미분류
시행되다	1	UNCLASSIFIED	미분류
간주하다	1	UNCLASSIFIED	미분류
앞당기다	1	UNCLASSIFIED	미분류
이해되다	1	UNCLASSIFIED	미분류
창설되다	1	UNCLASSIFIED	미분류
인쇄되다	1	UNCLASSIFIED	미분류
신탁받다	1	UNCLASSIFIED	미분류
유일하다	1	UNCLASSIFIED	미분류
유치하다	1	UNCLASSIFIED	미분류
부재하다	1	UNCLASSIFIED	미분류
출금하다	1	UNCLASSIFIED	미분류
기울이다	1	UNCLASSIFIED	미분류
배정받다	1	UNCLASSIFIED	미분류
감추다	1	UNCLASSIFIED	미분류
증액되다	1	UNCLASSIFIED	미분류
충족되다	1	UNCLASSIFIED	미분류
달라지다	1	UNCLASSIFIED	미분류
차등하다	1	UNCLASSIFIED	미분류
보증되다	1	UNCLASSIFIED	미분류
타다	1	UNCLASSIFIED	미분류
조절하다	1	UNCLASSIFIED	미분류
강화되다	1	UNCLASSIFIED	미분류
갚다	1	UNCLASSIFIED	미분류
전달되다	1	UNCLASSIFIED	미분류
예수되다	1	UNCLASSIFIED	미분류
생성되다	1	UNCLASSIFIED	미분류
빠지다	1	UNCLASSIFIED	미분류
새다	1	UNCLASSIFIED	미분류
근접하다	1	UNCLASSIFIED	미분류
바꾸다	1	UNCLASSIFIED	미분류
가리다	1	UNCLASSIFIED	미분류
완결하다	1	UNCLASSIFIED	미분류
주어지다	1	UNCLASSIFIED	미분류
건실하다	1	UNCLASSIFIED	미분류
상정되다	1	UNCLASSIFIED	미분류
요약되다	1	UNCLASSIFIED	미분류
할증하다	1	UNCLASSIFIED	미분류
해결되다	1	UNCLASSIFIED	미분류
자다	1	UNCLASSIFIED	미분류
대응되다	1	UNCLASSIFIED	미분류
시청하다	1	UNCLASSIFIED	미분류
밑돌다	1	UNCLASSIFIED	미분류
평균되다	1	UNCLASSIFIED	미분류
설명되다	1	UNCLASSIFIED	미분류
발표하다	1	UNCLASSIFIED	미분류
제작하다	1	UNCLASSIFIED	미분류
상근하다	1	UNCLASSIFIED	미분류
어지럽히다	1	UNCLASSIFIED	미분류
연결하다	1	UNCLASSIFIED	미분류
탈퇴하다	1	UNCLASSIFIED	미분류
이상하다	1	UNCLASSIFIED	미분류
이체되다	1	UNCLASSIFIED	미분류
조치되다	1	UNCLASSIFIED	미분류
진실하다	1	UNCLASSIFIED	미분류
징수되다	1	UNCLASSIFIED	미분류
내려지다	1	UNCLASSIFIED	미분류
추가되다	1	UNCLASSIFIED	미분류
뛰어나다	1	UNCLASSIFIED	미분류
논의하다	1	UNCLASSIFIED	미분류
조직되다	1	UNCLASSIFIED	미분류
압류하다	1	UNCLASSIFIED	미분류
지불하다	1	UNCLASSIFIED	미분류
불입되다	1	UNCLASSIFIED	미분류
도달되다	1	UNCLASSIFIED	미분류
제한받다	1	UNCLASSIFIED	미분류
분실하다	1	UNCLASSIFIED	미분류
발휘되다	1	UNCLASSIFIED	미분류
이탈하다	1	UNCLASSIFIED	미분류
보강하다	1	UNCLASSIFIED	미분류
도출되다	1	UNCLASSIFIED	미분류
시급하다	1	UNCLASSIFIED	미분류
신중하다	1	UNCLASSIFIED	미분류
모호하다	1	UNCLASSIFIED	미분류
장황하다	1	UNCLASSIFIED	미분류
회보하다	1	UNCLASSIFIED	미분류
일임하다	1	UNCLASSIFIED	미분류
독촉하다	1	UNCLASSIFIED	미분류
주장되다	1	UNCLASSIFIED	미분류
동거하다	1	UNCLASSIFIED	미분류
전화하다	1	UNCLASSIFIED	미분류
모이다	1	UNCLASSIFIED	미분류
경감하다	1	UNCLASSIFIED	미분류
나아가다	1	UNCLASSIFIED	미분류
탈루하다	1	UNCLASSIFIED	미분류
중계하다	1	UNCLASSIFIED	미분류
이체하다	1	UNCLASSIFIED	미분류
송금받다	1	UNCLASSIFIED	미분류
재생되다	1	UNCLASSIFIED	미분류
생성시키다	1	UNCLASSIFIED	미분류
집중되다	1	UNCLASSIFIED	미분류
단축되다	1	UNCLASSIFIED	미분류
개회하다	1	UNCLASSIFIED	미분류
평가되다	1	UNCLASSIFIED	미분류
극복하다	1	UNCLASSIFIED	미분류
강화하다	1	UNCLASSIFIED	미분류
중임하다	1	UNCLASSIFIED	미분류
장려하다	1	UNCLASSIFIED	미분류
경쟁하다	1	UNCLASSIFIED	미분류
대하하다	1	UNCLASSIFIED	미분류
중시하다	1	UNCLASSIFIED	미분류
겸임하다	1	UNCLASSIFIED	미분류
집중하다	1	UNCLASSIFIED	미분류
기리다	1	UNCLASSIFIED	미분류
깊다	1	UNCLASSIFIED	미분류
기념하다	1	UNCLASSIFIED	미분류
보유되다	1	UNCLASSIFIED	미분류
악화되다	1	UNCLASSIFIED	미분류
의존하다	1	UNCLASSIFIED	미분류
지속하다	1	UNCLASSIFIED	미분류
감축하다	1	UNCLASSIFIED	미분류
대차하다	1	UNCLASSIFIED	미분류
위축되다	1	UNCLASSIFIED	미분류
기명하다	1	UNCLASSIFIED	미분류
출납하다	1	UNCLASSIFIED	미분류
환송하다	1	UNCLASSIFIED	미분류
압류되다	1	UNCLASSIFIED	미분류
기탁하다	1	UNCLASSIFIED	미분류
임박하다	1	UNCLASSIFIED	미분류
철하다	1	UNCLASSIFIED	미분류
병용하다	1	UNCLASSIFIED	미분류
